"number"," first_name"," last_name"," email"," phone"," coding_before"," yearOfCoding"," num_of_exp"," major"," r_or_i"," volunteer_or_not"," degree"," team"
"1","Winfred","Steffensmeier","mirta_mallett@gmail.com","386-248-4118"," 1"," 3"," 1"," AMS"," 2"," 2"," M"," 1"
"2","Chauncey","Caudy","mitzie_hudnall@yahoo.com","626-572-1096"," 1"," 5"," 1"," BDS"," 2"," 1"," M"," 1"
"3","Buddy","Karpel","ruthann@hotmail.com","325-869-2649"," 2"," 5"," 1"," CS"," 2"," 1"," M"," 1"
"4","Bok","Turinetti","alecia@aol.com","816-557-9673"," 1"," 2"," 0"," RE"," 2"," 2"," M"," 1"
"5","Cathrine","Luczki","peggie@cox.net","847-633-3216"," 2"," 4"," 3"," FM"," 2"," 1"," M"," 1"
"6","Glendora","Arias","sarah.candlish@gmail.com","951-645-3605"," 2"," 7"," 5"," DS"," 2"," 1"," P"," 2"
"7","Kate","Mauson","pdubaldi@hotmail.com","931-875-6644"," 2"," 5"," 3"," CS"," 1"," 1"," M"," 2"
"8","Thaddeus","Cryer","glenna_slayton@cox.net","212-313-1783"," 2"," 4"," 0"," EM"," 2"," 1"," M"," 2"
"9","Hillary","Schieler","claribel_varriano@cox.net","801-293-9853"," 2"," 8"," 3"," CS"," 2"," 1"," P"," 2"
"10","Shonda","Klusman","denise@patak.org","513-508-7371"," 1"," 2"," 1"," BME"," 2"," 1"," M"," 2"
"11","Chanel","Barfield","bbolognia@yahoo.com","610-814-5533"," 2"," 4"," 3"," AMS"," 2"," 1"," M"," 3"
"12","Lauran","Heintzman","gberray@gmail.com","410-473-1708"," 2"," 4"," 4"," CS"," 2"," 1"," M"," 3"
"13","Xochitl","Colla","carma@cox.net","201-971-1638"," 2"," 4"," 2"," MSSI"," 2"," 1"," M"," 3"
"14","Audra","Kownacki","twana.felger@felger.org","973-936-5095"," 1"," 4"," 0"," AMS"," 1"," 1"," M"," 3"
"15","Laticia","Suffield","karan_karpin@gmail.com","804-550-5097"," 2"," 3"," 1"," DS"," 2"," 2"," M"," 3"
"16","Nicolette","Agramonte","fabiola.hauenstein@hauenstein.org","909-639-9887"," 2"," 5"," 3"," DS"," 2"," 1"," P"," 4"
"17","Adell","Kohl","jess.chaffins@chaffins.org","410-739-9277"," 2"," 5"," 1"," CS"," 2"," 2"," M"," 4"
"18","Izetta","Boord","micaela_rhymes@gmail.com","201-474-4924"," 3"," 2"," 0"," AMS"," 2"," 1"," M"," 4"
"19","Cory","Craghead","lilli@aol.com","914-868-5965"," 2"," 5"," 4"," CS"," 2"," 1"," P"," 4"
"20","Tiffiny","Berganza","tsmith@aol.com","716-752-4114"," 2"," 4"," 2"," CS"," 2"," 1"," M"," 4"
"21","Daniel","Gabisi","lettie_isenhower@yahoo.com","305-606-7291"," 2"," 5"," 1"," CS"," 2"," 1"," M"," 5"
"22","Gertude","Eroman","tresa_sweely@hotmail.com","410-890-7866"," 2"," 7"," 2"," RE"," 1"," 2"," P"," 5"
"23","Winfred","Cetta","gary_nunlee@nunlee.org","231-467-9978"," 2"," 4"," 2"," CS"," 2"," 2"," M"," 5"
"24","Lonna","Shields","jhanafan@gmail.com","785-347-1805"," 2"," 5"," 2"," CS"," 2"," 1"," P"," 5"
"25","Lettie","Tillotson","jess.chaffins@chaffins.org","602-954-5141"," 2"," 1"," 1"," CS"," 2"," 2"," M"," 5"
